pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3
250929_210949,8,2,0.778238,0.7083,3.069,1.489,-128.167,-5.80098,7.85784,5.49069,50.0,-1.15932,-15.1833,32.1879,-15.1701,L,1.8208,True,4,2,2,0,2,6,0,0,76430,R,LT,김상수,54812,SK,8,정준재,True,직구,141,T,True,25,중견수 플라이 아웃,중비,6,0,0
250929_211026,8,3,0.824822,0.7083,3.069,1.489,-127.566,-3.41066,8.16445,5.70468,50.0,-1.25905,-14.8772,27.2007,-12.8356,L,3.2287,True,4,2,2,0,2,6,0,0,76430,R,LT,김상수,54812,SK,8,정준재,True,직구,141,H,True,55,중견수 플라이 아웃,중비,6,0,0
250929_211343,9,1,0.302242,0.7083,3.389,1.644,-131.645,-6.69728,4.5838,6.42124,50.0,-0.734352,-9.91435,33.4368,-3.98696,R,3.4222,False,4,2,1,0,0,0,0,0,51897,R,SK,조병현,78513,LT,4,전준우,False,직구,145,T,True,54,중견수 플라이 아웃,중비,0,0,0
250929_211359,9,2,-0.230317,0.7083,3.389,1.644,-117.731,-3.2485,2.92363,6.58495,50.0,-0.647526,-8.99851,23.9125,-22.2275,R,2.9413,False,4,2,1,0,0,0,0,0,51897,R,SK,조병현,78513,LT,4,전준우,False,포크,130,H,False,43,중견수 플라이 아웃,중비,0,0,0
250929_211455,9,1,0.455804,0.7083,3.344,1.622,-111.411,2.01716,2.48512,6.83363,50.0,-0.654499,-0.315829,18.733,-34.249,R,4.0391,False,4,2,0,1,1,0,0,0,51897,R,SK,조병현,77564,LT,5,김민성,False,커브,123,B,True,54,볼넷,4구,5,0,0
250929_211510,9,2,0.288762,0.7083,3.344,1.622,-130.889,-5.53893,3.83906,6.40004,50.0,-0.629596,-7.65215,28.8243,-5.34329,R,3.7602,False,4,2,0,2,1,0,0,0,51897,R,SK,조병현,77564,LT,5,김민성,False,직구,145,B,True,54,볼넷,4구,5,0,0
250929_211925,9,3,-0.329124,0.7083,3.344,1.622,-133.001,-6.72936,3.1303,6.42025,50.0,-0.704127,-11.1423,31.859,-4.64551,R,3.4033,False,4,2,1,2,1,0,0,0,51897,R,SK,조병현,77564,LT,5,김민성,False,직구,147,T,True,52,볼넷,4구,5,0,0
250929_211950,9,4,-0.301312,0.7083,3.344,1.622,-131.939,-10.1274,2.89541,6.23782,50.0,-0.749027,-8.94308,32.0406,-3.6136,R,1.9184,False,4,2,2,2,1,0,0,0,51897,R,SK,조병현,77564,LT,5,김민성,False,직구,146,T,False,22,볼넷,4구,5,0,0
250929_212010,9,5,-1.26443,0.7083,3.344,1.622,-119.16,-7.85382,-0.698299,6.38574,50.0,-0.673656,-3.11974,22.2712,-22.6838,R,0.779,False,4,2,2,3,1,0,0,0,51897,R,SK,조병현,77564,LT,5,김민성,False,포크,132,B,True,11,볼넷,4구,5,0,0
250929_212030,9,6,-0.947277,0.7083,3.344,1.622,-131.561,-8.81767,1.46294,6.14293,50.0,-0.994342,-6.82248,32.4988,-7.55948,R,2.0135,False,4,2,2,4,1,0,0,0,51897,R,SK,조병현,77564,LT,5,김민성,False,직구,146,B,False,21,볼넷,4구,5,0,0
250929_212124,9,1,1.36015,0.7083,3.459,1.678,-115.694,-4.32779,5.94406,6.57497,50.0,-0.502654,-7.90701,22.3982,-23.1735,L,2.2524,False,4,2,0,1,1,5,0,0,51897,R,SK,조병현,51551,LT,6,나승엽,True,포크,129,B,True,25,유격수 플라이 아웃,유비,5,0,0
250929_212141,9,2,0.119432,0.7083,3.459,1.678,-130.346,-10.3198,3.89591,6.31103,50.0,-0.812131,-7.78116,27.5885,-2.48851,L,1.9775,False,4,2,1,1,1,5,0,0,51897,R,SK,조병현,51551,LT,6,나승엽,True,직구,145,T,False,23,유격수 플라이 아웃,유비,5,0,0
250929_212158,9,3,0.146858,0.7083,3.459,1.678,-130.632,-6.36159,3.85346,6.40507,50.0,-0.665736,-9.09966,31.7704,-3.8607,L,3.5322,False,4,2,1,1,1,5,0,0,51897,R,SK,조병현,51551,LT,6,나승엽,True,직구,144,H,True,53,유격수 플라이 아웃,유비,5,0,0
250929_212235,9,1,1.14848,0.7083,3.325,1.613,-131.671,-6.40271,6.50501,6.3201,50.0,-0.563048,-10.9823,34.0077,-8.13663,R,3.1038,False,4,2,0,1,2,5,0,0,51897,R,SK,조병현,68205,LT,7,전민재,True,직구,145,B,True,45,좌익수 플라이 아웃,좌비,5,0,0
250929_212251,9,2,0.61834,0.7083,3.325,1.613,-130.363,-7.74773,4.69514,6.34121,50.0,-0.57476,-8.5215,32.0021,-1.97832,R,3.0537,False,4,2,0,1,2,5,0,0,51897,R,SK,조병현,68205,LT,7,전민재,True,직구,144,H,False,44,좌익수 플라이 아웃,좌비,5,0,0
